frame,id,x,y,w,h
2,1,859,188,32,60
2,2,813,465,66,91
2,3,455,160,35,67
2,4,908,125,25,52
2,5,164,265,46,82
2,6,1086,344,49,95
2,7,394,155,34,61
2,8,728,85,27,43
2,9,737,193,35,69
2,11,580,94,25,52
2,12,409,419,55,78
2,13,1152,256,42,83
2,14,533,428,42,89
3,1,870,187,33,61
3,2,823,463,64,88
3,3,469,161,34,65
3,4,920,125,25,52
3,5,176,265,45,81
3,6,1084,344,49,95
3,7,408,154,33,61
3,8,740,85,27,42
3,9,748,192,36,71
3,11,593,95,25,51
3,12,417,417,56,81
3,13,1161,256,40,82
3,14,534,428,41,86
4,1,882,187,33,62
4,2,831,462,61,83
4,3,482,161,34,65
4,4,933,124,25,53
4,5,184,265,46,81
4,6,1087,344,48,96
4,7,421,154,33,61
4,8,751,84,27,44
4,9,758,192,37,72
4,11,606,96,24,51
4,12,427,415,56,83
4,13,1169,256,41,83
4,14,538,428,42,89
5,1,891,186,34,62
5,2,838,460,61,85
5,3,494,160,34,65
5,4,946,124,26,54
5,5,193,266,44,80
5,6,1093,346,47,95
5,7,432,154,33,61
5,8,764,85,26,43
5,9,769,192,37,74
5,11,619,96,25,50
5,12,433,414,59,86
5,13,1180,256,41,84
5,14,540,426,42,91
5,17,500,437,47,76
6,1,901,187,34,61
6,2,845,458,62,86
6,3,505,159,35,66
6,4,958,124,26,54
6,5,200,267,44,79
6,6,1100,348,45,91
6,7,443,154,33,61
6,8,777,85,26,43
6,9,780,193,37,73
6,11,632,96,24,50
6,12,437,413,59,85
6,13,1191,255,42,87
6,14,544,425,42,91
6,17,500,438,49,78
7,1,912,186,35,63
7,2,853,455,64,90
7,3,516,159,35,66
7,4,971,124,26,55
7,5,208,267,43,78
7,6,1111,348,46,93
7,7,454,153,32,62
7,8,788,85,25,43
7,9,790,195,36,71
7,11,643,95,25,50
7,12,443,412,59,85
7,13,1200,255,43,87
7,14,550,421,41,91
7,17,500,443,48,77
8,1,923,186,35,64
8,2,859,451,68,94
8,3,528,158,34,67
8,4,983,124,26,56
8,5,217,266,43,79
8,6,1115,347,45,94
8,7,466,153,31,62
8,8,802,85,26,44
8,9,801,197,34,70
8,11,654,95,25,51
8,12,452,412,58,84
8,13,1209,255,44,88
8,14,556,418,40,90
8,17,507,445,45,75
9,1,934,187,34,63
9,2,867,448,66,92
9,3,540,158,34,67
9,4,995,126,27,55
9,5,227,264,44,81
9,6,1120,346,47,97
9,7,479,154,31,61
9,8,815,85,26,44
9,9,810,197,33,69
9,11,665,95,25,51
9,12,461,412,56,82
9,13,1219,257,44,85
9,14,561,413,40,92
9,17,513,447,45,73
9,18,737,224,41,73
10,1,942,187,34,63
10,2,874,446,64,89
10,3,553,158,33,67
10,4,1008,127,25,55
10,5,237,263,44,82
10,6,1126,346,48,96
10,7,491,154,31,62
10,8,828,85,26,44
10,9,820,197,33,70
10,11,677,94,25,52
10,12,465,411,60,89
10,13,1226,258,42,85
10,14,568,411,40,93
10,17,516,449,45,73
10,18,751,224,40,73
11,1,953,186,33,64
11,2,880,445,63,88
11,3,566,159,33,67
11,4,1021,127,25,55
11,5,245,263,45,81
11,6,1128,346,47,95
11,7,503,155,31,61
11,8,841,87,26,42
11,9,830,196,34,71
11,11,690,95,25,52
11,12,471,410,61,91
11,13,1237,261,41,82
11,14,573,409,42,96
11,17,518,451,45,74
11,18,765,224,39,73
12,1,964,186,33,64
12,2,885,444,62,88
12,3,580,159,32,67
12,4,1034,127,25,55
12,5,253,263,45,82
12,6,1123,348,47,92
12,7,515,156,31,61
12,8,855,87,26,42
12,9,841,196,34,72
12,11,703,95,25,53
12,12,477,409,62,92
12,13,1244,261,40,83
12,14,572,409,47,105
12,17,520,453,46,74
12,18,775,224,40,73
13,1,975,186,33,65
13,2,890,444,63,90
13,3,592,160,33,66
13,4,1047,127,25,55
13,5,262,265,44,79
13,6,1125,349,45,90
13,7,528,156,31,61
13,8,867,87,25,43
13,9,850,197,34,72
13,11,715,96,25,52
13,12,484,408,62,94
13,13,1253,260,36,77
13,14,575,409,49,107
13,17,523,454,45,75
13,18,789,224,40,74
14,1,985,186,34,66
14,2,897,443,63,92
14,3,604,161,33,66
14,4,1060,128,25,54
14,5,267,265,44,79
14,6,1128,352,44,88
14,7,540,157,30,61
14,8,879,87,25,43
14,9,859,198,35,71
14,11,727,98,26,51
14,12,490,407,64,95
14,13,1261,260,36,76
14,14,585,408,44,94
14,17,525,456,46,75
14,18,800,224,40,74
15,1,993,187,35,65
15,2,903,441,63,92
15,3,616,162,33,65
15,4,1072,128,26,55
15,5,272,265,42,79
15,6,1136,353,41,82
